"year","zone","domain","measure","value"
"2016","S01008687","Health","Vigintile",16
"2016","S01008687","Income","Vigintile",13
"2016","S01008687","Housing","Vigintile",1
"2016","S01008687","SIMD","Vigintile",9
"2016","S01008687","Access To Services","Vigintile",7
"2016","S01008687","Crime","Vigintile",9
"2016","S01008687","Access To Services","Quintile",2
"2016","S01008687","SIMD","Quintile",3
"2016","S01008687","Crime","Quintile",3
"2016","S01008687","Employment","Quintile",4
"2016","S01008687","Health","Quintile",4
"2016","S01008687","Income","Quintile",4
"2016","S01008687","Housing","Quintile",1
"2016","S01008687","Education Skills And Training","Quintile",1
"2016","S01008688","Access To Services","Rank",3032
"2016","S01008688","SIMD","Rank",3498
"2016","S01008688","Crime","Rank",4606
"2016","S01008688","Employment","Rank",3554
"2016","S01008688","Income","Rank",3588
"2016","S01008688","Health","Rank",6053
"2016","S01008688","Education Skills And Training","Rank",1857
"2016","S01008688","Housing","Rank",278
"2016","S01008688","SIMD","Decile",6
"2016","S01008688","Crime","Decile",7
"2016","S01008688","Health","Decile",9
"2016","S01008688","Access To Services","Decile",5
"2016","S01008688","Housing","Decile",1
"2016","S01008688","Education Skills And Training","Decile",3
"2016","S01008688","Income","Decile",6
"2016","S01008688","Employment","Decile",6
"2016","S01008688","Education Skills And Training","Vigintile",6
"2016","S01008688","Employment","Vigintile",11
"2016","S01008688","Health","Vigintile",18
"2016","S01008688","Housing","Vigintile",1
"2016","S01008688","Access To Services","Vigintile",9
"2016","S01008688","Crime","Vigintile",14
"2016","S01008688","Income","Vigintile",11
"2016","S01008688","SIMD","Vigintile",11
"2016","S01008688","Housing","Quintile",1
"2016","S01008688","Health","Quintile",5
"2016","S01008688","Income","Quintile",3
"2016","S01008688","Education Skills And Training","Quintile",2
"2016","S01008688","Employment","Quintile",3
"2016","S01008688","Crime","Quintile",4
"2016","S01008688","SIMD","Quintile",3
"2016","S01008688","Access To Services","Quintile",3
"2016","S01008433","Access To Services","Rank",2565
"2016","S01008433","SIMD","Rank",6614
"2016","S01008433","Crime","Rank","3830.5"
"2016","S01008433","Employment","Rank",6458
"2016","S01008433","Income","Rank",6682
"2016","S01008433","Health","Rank",6423
"2016","S01008433","Education Skills And Training","Rank",6114
"2016","S01008433","Housing","Rank",6268
"2016","S01008433","SIMD","Decile",10
"2016","S01008433","Crime","Decile",6
"2016","S01008433","Health","Decile",10
"2016","S01008433","Access To Services","Decile",4
"2016","S01008433","Housing","Decile",9
"2016","S01008433","Education Skills And Training","Decile",9
"2016","S01008433","Income","Decile",10
"2016","S01008433","Employment","Decile",10
"2016","S01008433","Education Skills And Training","Vigintile",18
"2016","S01008433","Employment","Vigintile",19
"2016","S01008433","Health","Vigintile",19
"2016","S01008433","Housing","Vigintile",18
"2016","S01008433","Access To Services","Vigintile",8
"2016","S01008433","Crime","Vigintile",11
"2016","S01008433","Income","Vigintile",20
"2016","S01008433","SIMD","Vigintile",19
"2016","S01008433","Housing","Quintile",5
"2016","S01008433","Health","Quintile",5
"2016","S01008433","Income","Quintile",5
"2016","S01008433","Education Skills And Training","Quintile",5
"2016","S01008433","Employment","Quintile",5
"2016","S01008433","Crime","Quintile",3
"2016","S01008433","SIMD","Quintile",5
"2016","S01008433","Access To Services","Quintile",2
"2016","S01008434","Access To Services","Rank",2812
"2016","S01008434","SIMD","Rank",6493
"2016","S01008434","Crime","Rank",3499
"2016","S01008434","Employment","Rank",6747
"2016","S01008434","Income","Rank",6515
"2016","S01008434","Health","Rank",6209
"2016","S01008434","Education Skills And Training","Rank",5164
"2016","S01008434","Housing","Rank",5488
"2016","S01008434","SIMD","Decile",10
"2016","S01008434","Crime","Decile",6
"2016","S01008434","Health","Decile",9
"2016","S01008434","Access To Services","Decile",5
"2016","S01008434","Housing","Decile",8
"2016","S01008434","Education Skills And Training","Decile",8
"2016","S01008434","Income","Decile",10
"2016","S01008434","Employment","Decile",10
"2016","S01008434","Education Skills And Training","Vigintile",15
"2016","S01008434","Employment","Vigintile",20
"2016","S01008434","Health","Vigintile",18
"2016","S01008434","Housing","Vigintile",16
"2016","S01008434","Access To Services","Vigintile",9
"2016","S01008434","Crime","Vigintile",11
"2016","S01008434","Income","Vigintile",19
"2016","S01008434","SIMD","Vigintile",19
"2016","S01008434","Housing","Quintile",4
"2016","S01008434","Health","Quintile",5
"2016","S01008434","Income","Quintile",5
"2016","S01008434","Education Skills And Training","Quintile",4
"2016","S01008434","Employment","Quintile",5
"2016","S01008434","Crime","Quintile",3
"2016","S01008434","SIMD","Quintile",5
"2016","S01008434","Access To Services","Quintile",3
"2016","S01008435","Access To Services","Rank",3051
"2016","S01008435","SIMD","Rank",6589
"2016","S01008435","Crime","Rank","2283.5"
"2016","S01008435","Employment","Rank",6543
"2016","S01008435","Income","Rank",6869
"2016","S01008435","Health","Rank",6324
"2016","S01008435","Education Skills And Training","Rank",5960
"2016","S01008435","Housing","Rank",6094
"2016","S01008435","SIMD","Decile",10
"2016","S01008435","Crime","Decile",4
"2016","S01008435","Health","Decile",10
"2016","S01008435","Access To Services","Decile",5
"2016","S01008435","Housing","Decile",9
"2016","S01008435","Education Skills And Training","Decile",9
"2016","S01008435","Income","Decile",10
"2016","S01008435","Employment","Decile",10
"2016","S01008435","Education Skills And Training","Vigintile",18
"2016","S01008435","Employment","Vigintile",19
"2016","S01008435","Health","Vigintile",19
"2016","S01008435","Housing","Vigintile",18
"2016","S01008435","Access To Services","Vigintile",9
"2016","S01008435","Crime","Vigintile",7
"2016","S01008435","Income","Vigintile",20
"2016","S01008435","SIMD","Vigintile",19
"2016","S01008435","Housing","Quintile",5
"2016","S01008435","Health","Quintile",5
"2016","S01008435","Income","Quintile",5
"2016","S01008435","Education Skills And Training","Quintile",5
"2016","S01008435","Employment","Quintile",5
"2016","S01008435","Crime","Quintile",2
"2016","S01008435","SIMD","Quintile",5
"2016","S01008435","Access To Services","Quintile",3
"2016","S01008436","Access To Services","Rank",3084
"2016","S01008436","SIMD","Rank",6279
"2016","S01008436","Crime","Rank",4835
"2016","S01008436","Employment","Rank",5279
"2016","S01008436","Income","Rank",6065
"2016","S01008436","Health","Rank",6145
"2016","S01008436","Education Skills And Training","Rank",6546
"2016","S01008436","Housing","Rank",6435
"2016","S01008436","SIMD","Decile",10
"2016","S01008436","Crime","Decile",7
"2016","S01008436","Health","Decile",9
"2016","S01008436","Access To Services","Decile",5
"2016","S01008436","Housing","Decile",10
"2016","S01008436","Education Skills And Training","Decile",10
"2016","S01008436","Income","Decile",9
"2016","S01008436","Employment","Decile",8
"2016","S01008436","Education Skills And Training","Vigintile",19
"2016","S01008436","Employment","Vigintile",16
"2016","S01008436","Health","Vigintile",18
"2016","S01008436","Housing","Vigintile",19
"2016","S01008436","Access To Services","Vigintile",9
"2016","S01008436","Crime","Vigintile",14
"2016","S01008436","Income","Vigintile",18
"2016","S01008436","SIMD","Vigintile",19
"2016","S01008436","Housing","Quintile",5
"2016","S01008436","Health","Quintile",5
"2016","S01008436","Income","Quintile",5
"2016","S01008436","Education Skills And Training","Quintile",5
"2016","S01008436","Employment","Quintile",4
"2016","S01008436","Crime","Quintile",4
"2016","S01008436","SIMD","Quintile",5
"2016","S01008436","Access To Services","Quintile",3
"2016","S01008437","Access To Services","Rank",2617
"2016","S01008437","SIMD","Rank",5241
"2016","S01008437","Crime","Rank","5103.5"
"2016","S01008437","Employment","Rank",4303
"2016","S01008437","Income","Rank",5123
"2016","S01008437","Health","Rank",4354
"2016","S01008437","Education Skills And Training","Rank",6748
"2016","S01008437","Housing","Rank","3910.5"
"2016","S01008437","SIMD","Decile",8
"2016","S01008437","Crime","Decile",8
"2016","S01008437","Health","Decile",7
"2016","S01008437","Access To Services","Decile",4
"2016","S01008437","Housing","Decile",6
"2016","S01008437","Education Skills And Training","Decile",10
"2016","S01008437","Income","Decile",8
"2016","S01008437","Employment","Decile",7
"2016","S01008437","Education Skills And Training","Vigintile",20
"2016","S01008437","Employment","Vigintile",13
"2016","S01008437","Health","Vigintile",13
"2016","S01008437","Housing","Vigintile",12
"2016","S01008437","Access To Services","Vigintile",8
"2016","S01008437","Crime","Vigintile",15
"2016","S01008437","Income","Vigintile",15
"2016","S01008437","SIMD","Vigintile",16
"2016","S01008437","Housing","Quintile",3
"2016","S01008437","Health","Quintile",4
"2016","S01008437","Income","Quintile",4
"2016","S01008437","Education Skills And Training","Quintile",5
"2016","S01008437","Employment","Quintile",4
"2016","S01008437","Crime","Quintile",4
"2016","S01008437","SIMD","Quintile",4
"2016","S01008437","Access To Services","Quintile",2
"2016","S01008417","Access To Services","Rank",884
"2016","S01008417","SIMD","Rank",5612
"2016","S01008417","Crime","Rank",4087
"2016","S01008417","Employment","Rank",6119
"2016","S01008417","Income","Rank",5220
"2016","S01008417","Health","Rank",6449
"2016","S01008417","Education Skills And Training","Rank",6694
"2016","S01008417","Housing","Rank",6350
"2016","S01008417","SIMD","Decile",9
"2016","S01008417","Crime","Decile",6
"2016","S01008417","Health","Decile",10
"2016","S01008417","Access To Services","Decile",2
"2016","S01008417","Housing","Decile",10
"2016","S01008417","Education Skills And Training","Decile",10
"2016","S01008417","Income","Decile",8
"2016","S01008417","Employment","Decile",9
"2016","S01008417","Education Skills And Training","Vigintile",20
"2016","S01008417","Employment","Vigintile",18
"2016","S01008417","Health","Vigintile",19
"2016","S01008417","Housing","Vigintile",19
"2016","S01008417","Access To Services","Vigintile",3
"2016","S01008417","Crime","Vigintile",12
"2016","S01008417","Income","Vigintile",15
"2016","S01008417","SIMD","Vigintile",17
"2016","S01008417","Housing","Quintile",5
"2016","S01008417","Health","Quintile",5
"2016","S01008417","Income","Quintile",4
"2016","S01008417","Education Skills And Training","Quintile",5
"2016","S01008417","Employment","Quintile",5
"2016","S01008417","Crime","Quintile",3
"2016","S01008417","SIMD","Quintile",5
"2016","S01008417","Access To Services","Quintile",1
"2016","S01008418","Access To Services","Rank",1311
"2016","S01008418","SIMD","Rank",6285
"2016","S01008418","Crime","Rank","4513.5"
"2016","S01008418","Employment","Rank",6368
"2016","S01008418","Income","Rank",6769
"2016","S01008418","Health","Rank",6000
"2016","S01008418","Education Skills And Training","Rank",6453
"2016","S01008418","Housing","Rank",6650
"2016","S01008418","SIMD","Decile",10
"2016","S01008418","Crime","Decile",7
"2016","S01008418","Health","Decile",9
"2016","S01008418","Access To Services","Decile",2
"2016","S01008418","Housing","Decile",10
"2016","S01008418","Education Skills And Training","Decile",10
"2016","S01008418","Income","Decile",10
"2016","S01008418","Employment","Decile",10
"2016","S01008418","Education Skills And Training","Vigintile",19
"2016","S01008418","Employment","Vigintile",19
"2016","S01008418","Health","Vigintile",18
"2016","S01008418","Housing","Vigintile",20
"2016","S01008418","Access To Services","Vigintile",4
"2016","S01008418","Crime","Vigintile",13
"2016","S01008418","Income","Vigintile",20
"2016","S01008418","SIMD","Vigintile",19
"2016","S01008418","Housing","Quintile",5
"2016","S01008418","Health","Quintile",5
"2016","S01008418","Income","Quintile",5
"2016","S01008418","Education Skills And Training","Quintile",5
"2016","S01008418","Employment","Quintile",5
"2016","S01008418","Crime","Quintile",4
"2016","S01008418","SIMD","Quintile",5
"2016","S01008418","Access To Services","Quintile",1
"2016","S01008419","Access To Services","Rank",3504
"2016","S01008419","SIMD","Rank",5717
"2016","S01008419","Crime","Rank",3990
"2016","S01008419","Employment","Rank",4898
"2016","S01008419","Income","Rank",5344
"2016","S01008419","Health","Rank",5220
"2016","S01008419","Education Skills And Training","Rank",6304
"2016","S01008419","Housing","Rank",5373
"2016","S01008419","SIMD","Decile",9
"2016","S01008419","Crime","Decile",6
"2016","S01008419","Health","Decile",8
"2016","S01008419","Access To Services","Decile",6
"2016","S01008419","Housing","Decile",8
"2016","S01008419","Education Skills And Training","Decile",10
"2016","S01008419","Income","Decile",8
"2016","S01008419","Employment","Decile",8
"2016","S01008419","Education Skills And Training","Vigintile",19
"2016","S01008419","Employment","Vigintile",15
"2016","S01008419","Health","Vigintile",15
"2016","S01008419","Housing","Vigintile",16
"2016","S01008419","Access To Services","Vigintile",11
"2016","S01008419","Crime","Vigintile",12
"2016","S01008419","Income","Vigintile",16
"2016","S01008419","SIMD","Vigintile",17
"2016","S01008419","Housing","Quintile",4
"2016","S01008419","Health","Quintile",4
"2016","S01008419","Income","Quintile",4
"2016","S01008419","Education Skills And Training","Quintile",5
"2016","S01008419","Employment","Quintile",4
"2016","S01008419","Crime","Quintile",3
"2016","S01008419","SIMD","Quintile",5
"2016","S01008419","Access To Services","Quintile",3
"2016","S01008420","Access To Services","Rank",4810
"2016","S01008420","SIMD","Rank",6737
"2016","S01008420","Crime","Rank",5655
"2016","S01008420","Employment","Rank",6346
"2016","S01008420","Income","Rank",5620
"2016","S01008420","Health","Rank",6246
"2016","S01008420","Education Skills And Training","Rank",6378
"2016","S01008420","Housing","Rank",6957
"2016","S01008420","SIMD","Decile",10
"2016","S01008420","Crime","Decile",9
"2016","S01008420","Health","Decile",9
"2016","S01008420","Access To Services","Decile",7
"2016","S01008420","Housing","Decile",10
"2016","S01008420","Education Skills And Training","Decile",10
"2016","S01008420","Income","Decile",9
"2016","S01008420","Employment","Decile",10
"2016","S01008420","Education Skills And Training","Vigintile",19
"2016","S01008420","Employment","Vigintile",19
"2016","S01008420","Health","Vigintile",18
"2016","S01008420","Housing","Vigintile",20
"2016","S01008420","Access To Services","Vigintile",14
"2016","S01008420","Crime","Vigintile",17
"2016","S01008420","Income","Vigintile",17
"2016","S01008420","SIMD","Vigintile",20
"2016","S01008420","Housing","Quintile",5
"2016","S01008420","Health","Quintile",5
"2016","S01008420","Income","Quintile",5
"2016","S01008420","Education Skills And Training","Quintile",5
"2016","S01008420","Employment","Quintile",5
"2016","S01008420","Crime","Quintile",5
"2016","S01008420","SIMD","Quintile",5
"2016","S01008420","Access To Services","Quintile",4
"2016","S01008421","Access To Services","Rank",4314
"2016","S01008421","SIMD","Rank",3530
"2016","S01008421","Crime","Rank",4596
"2016","S01008421","Employment","Rank",3528
"2016","S01008421","Income","Rank",2810
"2016","S01008421","Health","Rank",2939
"2016","S01008421","Education Skills And Training","Rank",3669
"2016","S01008421","Housing","Rank",4598
"2016","S01008421","SIMD","Decile",6
"2016","S01008421","Crime","Decile",7
"2016","S01008421","Health","Decile",5
"2016","S01008421","Access To Services","Decile",7
"2016","S01008421","Housing","Decile",7
"2016","S01008421","Education Skills And Training","Decile",6
"2016","S01008421","Income","Decile",5
"2016","S01008421","Employment","Decile",6
"2016","S01008421","Education Skills And Training","Vigintile",11
"2016","S01008421","Employment","Vigintile",11
"2016","S01008421","Health","Vigintile",9
"2016","S01008421","Housing","Vigintile",14
"2016","S01008421","Access To Services","Vigintile",13
"2016","S01008421","Crime","Vigintile",14
"2016","S01008421","Income","Vigintile",9
"2016","S01008421","SIMD","Vigintile",11
"2016","S01008421","Housing","Quintile",4
"2016","S01008421","Health","Quintile",3
"2016","S01008421","Income","Quintile",3
"2016","S01008421","Education Skills And Training","Quintile",3
"2016","S01008421","Employment","Quintile",3
"2016","S01008421","Crime","Quintile",4
"2016","S01008421","SIMD","Quintile",3
"2016","S01008421","Access To Services","Quintile",4
"2016","S01008422","Access To Services","Rank",2671
"2016","S01008422","SIMD","Rank",6792
"2016","S01008422","Crime","Rank",4435
"2016","S01008422","Employment","Rank",6569
"2016","S01008422","Income","Rank",6787
"2016","S01008422","Health","Rank",6562
"2016","S01008422","Education Skills And Training","Rank",6943
"2016","S01008422","Housing","Rank",6377
"2016","S01008422","SIMD","Decile",10
"2016","S01008422","Crime","Decile",7
"2016","S01008422","Health","Decile",10
"2016","S01008422","Access To Services","Decile",4
"2016","S01008422","Housing","Decile",10
"2016","S01008422","Education Skills And Training","Decile",10
"2016","S01008422","Income","Decile",10
"2016","S01008422","Employment","Decile",10
"2016","S01008422","Education Skills And Training","Vigintile",20
"2016","S01008422","Employment","Vigintile",19
"2016","S01008422","Health","Vigintile",19
"2016","S01008422","Housing","Vigintile",19
"2016","S01008422","Access To Services","Vigintile",8
"2016","S01008422","Crime","Vigintile",13
"2016","S01008422","Income","Vigintile",20
"2016","S01008422","SIMD","Vigintile",20
"2016","S01008422","Housing","Quintile",5
"2016","S01008422","Health","Quintile",5
"2016","S01008422","Income","Quintile",5
"2016","S01008422","Education Skills And Training","Quintile",5
"2016","S01008422","Employment","Quintile",5
"2016","S01008422","Crime","Quintile",4
"2016","S01008422","SIMD","Quintile",5
"2016","S01008422","Access To Services","Quintile",2
"2016","S01008423","Access To Services","Rank",1531
"2016","S01008423","SIMD","Rank",6391
"2016","S01008423","Crime","Rank",4039
"2016","S01008423","Employment","Rank",6555
"2016","S01008423","Income","Rank",6576
"2016","S01008423","Health","Rank",6278
"2016","S01008423","Education Skills And Training","Rank",6496
"2016","S01008423","Housing","Rank",6558
"2016","S01008423","SIMD","Decile",10
"2016","S01008423","Crime","Decile",6
"2016","S01008423","Health","Decile",9
"2016","S01008423","Access To Services","Decile",3
"2016","S01008423","Housing","Decile",10
"2016","S01008423","Education Skills And Training","Decile",10
"2016","S01008423","Income","Decile",10
"2016","S01008423","Employment","Decile",10
"2016","S01008423","Education Skills And Training","Vigintile",19
"2016","S01008423","Employment","Vigintile",19
"2016","S01008423","Health","Vigintile",18
"2016","S01008423","Housing","Vigintile",19
"2016","S01008423","Access To Services","Vigintile",5
"2016","S01008423","Crime","Vigintile",12
"2016","S01008423","Income","Vigintile",19
"2016","S01008423","SIMD","Vigintile",19
"2016","S01008423","Housing","Quintile",5
"2016","S01008423","Health","Quintile",5
"2016","S01008423","Income","Quintile",5
"2016","S01008423","Education Skills And Training","Quintile",5
"2016","S01008423","Employment","Quintile",5
"2016","S01008423","Crime","Quintile",3
"2016","S01008423","SIMD","Quintile",5
"2016","S01008423","Access To Services","Quintile",2
"2016","S01008424","Access To Services","Rank",2109
"2016","S01008424","SIMD","Rank",6671
"2016","S01008424","Crime","Rank",5817
"2016","S01008424","Employment","Rank",6041
"2016","S01008424","Income","Rank",6807
"2016","S01008424","Health","Rank",6767
"2016","S01008424","Education Skills And Training","Rank",6611
"2016","S01008424","Housing","Rank",6859
"2016","S01008424","SIMD","Decile",10
"2016","S01008424","Crime","Decile",9
"2016","S01008424","Health","Decile",10
"2016","S01008424","Access To Services","Decile",4
"2016","S01008424","Housing","Decile",10
"2016","S01008424","Education Skills And Training","Decile",10
"2016","S01008424","Income","Decile",10
"2016","S01008424","Employment","Decile",9
"2016","S01008424","Education Skills And Training","Vigintile",19
"2016","S01008424","Employment","Vigintile",18
"2016","S01008424","Health","Vigintile",20
"2016","S01008424","Housing","Vigintile",20
"2016","S01008424","Access To Services","Vigintile",7
"2016","S01008424","Crime","Vigintile",17
"2016","S01008424","Income","Vigintile",20
"2016","S01008424","SIMD","Vigintile",20
"2016","S01008424","Housing","Quintile",5
"2016","S01008424","Health","Quintile",5
"2016","S01008424","Income","Quintile",5
"2016","S01008424","Education Skills And Training","Quintile",5
"2016","S01008424","Employment","Quintile",5
"2016","S01008424","Crime","Quintile",5
"2016","S01008424","SIMD","Quintile",5
"2016","S01008424","Access To Services","Quintile",2
"2016","S01008875","Access To Services","Rank",6351
"2016","S01008875","SIMD","Rank",4923
"2016","S01008875","Crime","Rank",4616
"2016","S01008875","Employment","Rank",4871
"2016","S01008875","Income","Rank",4741
"2016","S01008875","Health","Rank",5270
"2016","S01008875","Education Skills And Training","Rank",2611
"2016","S01008875","Housing","Rank",617
"2016","S01008875","SIMD","Decile",8
"2016","S01008875","Crime","Decile",7
"2016","S01008875","Health","Decile",8
"2016","S01008875","Access To Services","Decile",10
"2016","S01008875","Housing","Decile",1
"2016","S01008875","Education Skills And Training","Decile",4
"2016","S01008875","Income","Decile",7
"2016","S01008875","Employment","Decile",7
"2016","S01008875","Education Skills And Training","Vigintile",8
"2016","S01008875","Employment","Vigintile",14
"2016","S01008875","Health","Vigintile",16
"2016","S01008875","Housing","Vigintile",2
"2016","S01008875","Access To Services","Vigintile",19
"2016","S01008875","Crime","Vigintile",14
"2016","S01008875","Income","Vigintile",14
"2016","S01008875","SIMD","Vigintile",15
"2016","S01008875","Housing","Quintile",1
"2016","S01008875","Health","Quintile",4
"2016","S01008875","Income","Quintile",4
"2016","S01008875","Education Skills And Training","Quintile",2
"2016","S01008875","Employment","Quintile",4
"2016","S01008875","Crime","Quintile",4
"2016","S01008875","SIMD","Quintile",4
"2016","S01008875","Access To Services","Quintile",5
"2016","S01008876","Access To Services","Rank",5010
"2016","S01008876","SIMD","Rank",5972
"2016","S01008876","Crime","Rank",567
"2016","S01008876","Employment","Rank",5832
"2016","S01008876","Income","Rank",6233
"2016","S01008876","Health","Rank",5387
"2016","S01008876","Education Skills And Training","Rank",6331
"2016","S01008876","Housing","Rank",6594
"2016","S01008876","SIMD","Decile",9
"2016","S01008876","Crime","Decile",1
"2016","S01008876","Health","Decile",8
"2016","S01008876","Access To Services","Decile",8
"2016","S01008876","Housing","Decile",10
"2016","S01008876","Education Skills And Training","Decile",10
"2016","S01008876","Income","Decile",9
"2016","S01008876","Employment","Decile",9
"2016","S01008876","Education Skills And Training","Vigintile",19
"2016","S01008876","Employment","Vigintile",17
"2016","S01008876","Health","Vigintile",16
"2016","S01008876","Housing","Vigintile",19
"2016","S01008876","Access To Services","Vigintile",15
"2016","S01008876","Crime","Vigintile",2
"2016","S01008876","Income","Vigintile",18
"2016","S01008876","SIMD","Vigintile",18
"2016","S01008876","Housing","Quintile",5
"2016","S01008876","Health","Quintile",4
"2016","S01008876","Income","Quintile",5
"2016","S01008876","Education Skills And Training","Quintile",5
"2016","S01008876","Employment","Quintile",5
"2016","S01008876","Crime","Quintile",1
"2016","S01008876","SIMD","Quintile",5
"2016","S01008876","Access To Services","Quintile",4
"2016","S01008877","Access To Services","Rank",4633
"2016","S01008877","SIMD","Rank",6709
"2016","S01008877","Crime","Rank",2760
"2016","S01008877","Employment","Rank",6434
"2016","S01008877","Income","Rank",6147
"2016","S01008877","Health","Rank",6323
"2016","S01008877","Education Skills And Training","Rank",6543
"2016","S01008877","Housing","Rank","6290.5"
"2016","S01008877","SIMD","Decile",10
"2016","S01008877","Crime","Decile",4
"2016","S01008877","Health","Decile",10
"2016","S01008877","Access To Services","Decile",7
"2016","S01008877","Housing","Decile",10
"2016","S01008877","Education Skills And Training","Decile",10
"2016","S01008877","Income","Decile",9
"2016","S01008877","Employment","Decile",10
"2016","S01008877","Education Skills And Training","Vigintile",19
"2016","S01008877","Employment","Vigintile",19
"2016","S01008877","Health","Vigintile",19
"2016","S01008877","Housing","Vigintile",19
"2016","S01008877","Access To Services","Vigintile",14
"2016","S01008877","Crime","Vigintile",8
"2016","S01008877","Income","Vigintile",18
"2016","S01008877","SIMD","Vigintile",20
"2016","S01008877","Housing","Quintile",5
"2016","S01008877","Health","Quintile",5
"2016","S01008877","Income","Quintile",5
"2016","S01008877","Education Skills And Training","Quintile",5
"2016","S01008877","Employment","Quintile",5
"2016","S01008877","Crime","Quintile",2
"2016","S01008877","SIMD","Quintile",5
"2016","S01008877","Access To Services","Quintile",4
"2016","S01008878","Access To Services","Rank",3823
"2016","S01008878","SIMD","Rank",4238
"2016","S01008878","Crime","Rank",5326
"2016","S01008878","Employment","Rank",3447
"2016","S01008878","Income","Rank",3747
"2016","S01008878","Health","Rank",3432
"2016","S01008878","Education Skills And Training","Rank",5020
"2016","S01008878","Housing","Rank",4431
"2016","S01008878","SIMD","Decile",7
"2016","S01008878","Crime","Decile",8
"2016","S01008878","Health","Decile",5
"2016","S01008878","Access To Services","Decile",6
"2016","S01008878","Housing","Decile",7
"2016","S01008878","Education Skills And Training","Decile",8
"2016","S01008878","Income","Decile",6
"2016","S01008878","Employment","Decile",5
"2016","S01008878","Education Skills And Training","Vigintile",15
"2016","S01008878","Employment","Vigintile",10
"2016","S01008878","Health","Vigintile",10
"2016","S01008878","Housing","Vigintile",13
"2016","S01008878","Access To Services","Vigintile",11
"2016","S01008878","Crime","Vigintile",16
"2016","S01008878","Income","Vigintile",11
"2016","S01008878","SIMD","Vigintile",13
"2016","S01008878","Housing","Quintile",4
"2016","S01008878","Health","Quintile",3
"2016","S01008878","Income","Quintile",3
"2016","S01008878","Education Skills And Training","Quintile",4
"2016","S01008878","Employment","Quintile",3
"2016","S01008878","Crime","Quintile",4
"2016","S01008878","SIMD","Quintile",4
"2016","S01008878","Access To Services","Quintile",3
"2016","S01008879","Access To Services","Rank",3913
"2016","S01008879","SIMD","Rank",4790
"2016","S01008879","Crime","Rank",2596
"2016","S01008879","Employment","Rank",5043
"2016","S01008879","Income","Rank",3827
"2016","S01008879","Health","Rank",5126
"2016","S01008879","Education Skills And Training","Rank",4015
"2016","S01008879","Housing","Rank",5093
"2016","S01008879","SIMD","Decile",7
"2016","S01008879","Crime","Decile",4
"2016","S01008879","Health","Decile",8
"2016","S01008879","Access To Services","Decile",6
"2016","S01008879","Housing","Decile",8
"2016","S01008879","Education Skills And Training","Decile",6
"2016","S01008879","Income","Decile",6
"2016","S01008879","Employment","Decile",8
"2016","S01008879","Education Skills And Training","Vigintile",12
"2016","S01008879","Employment","Vigintile",15
"2016","S01008879","Health","Vigintile",15
"2016","S01008879","Housing","Vigintile",15
"2016","S01008879","Access To Services","Vigintile",12
"2016","S01008879","Crime","Vigintile",8
"2016","S01008879","Income","Vigintile",11
"2016","S01008879","SIMD","Vigintile",14
"2016","S01008879","Housing","Quintile",4
"2016","S01008879","Health","Quintile",4
"2016","S01008879","Income","Quintile",3
"2016","S01008879","Education Skills And Training","Quintile",3
"2016","S01008879","Employment","Quintile",4
"2016","S01008879","Crime","Quintile",2
"2016","S01008879","SIMD","Quintile",4
"2016","S01008879","Access To Services","Quintile",3
